test_id,clone_code_id,desired_base_code_id,clone_language,clone_task,clone_type,clone_sub_type,similarity_score,base_code_id,base_language,base_task,base_domain,base_subdomain
z4tt_1_1_1,z4tt_1_1,z4tt,python,100 doors,T1,Identical Clone,0.9999999,z4tt,python,100 doors,Game Development,Puzzles
z4tt_1_1_2,z4tt_1_1,z4tt,python,100 doors,T1,Identical Clone,0.98798966,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_1_1_3,z4tt_1_1,z4tt,python,100 doors,T1,Identical Clone,0.9839485,6y03w,python,Ackermann function,Mathematics,Algorithms
z4tt_1_1_4,z4tt_1_1,z4tt,python,100 doors,T1,Identical Clone,0.9814422,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_1_1_5,z4tt_1_1,z4tt,python,100 doors,T1,Identical Clone,0.9799652,mclyh,python,Active Directory/Connect,Networking,Directory Services
z4tt_1_2_1,z4tt_1_2,z4tt,python,100 doors,T1,Different Whitespaces,0.99421495,z4tt,python,100 doors,Game Development,Puzzles
z4tt_1_2_2,z4tt_1_2,z4tt,python,100 doors,T1,Different Whitespaces,0.9822522,jhq7p,python,A+B,Mathematics,Arithmetic
z4tt_1_2_3,z4tt_1_2,z4tt,python,100 doors,T1,Different Whitespaces,0.9814707,6y03w,python,Ackermann function,Mathematics,Algorithms
z4tt_1_2_4,z4tt_1_2,z4tt,python,100 doors,T1,Different Whitespaces,0.98128784,3jzc,python,Arbitrary-precision integers (included),Mathematics,Arithmetic
z4tt_1_2_5,z4tt_1_2,z4tt,python,100 doors,T1,Different Whitespaces,0.98095775,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_1_3_1,z4tt_1_3,z4tt,python,100 doors,T1,Different Comments,0.9989105,z4tt,python,100 doors,Game Development,Puzzles
z4tt_1_3_2,z4tt_1_3,z4tt,python,100 doors,T1,Different Comments,0.9876791,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_1_3_3,z4tt_1_3,z4tt,python,100 doors,T1,Different Comments,0.9839701,6y03w,python,Ackermann function,Mathematics,Algorithms
z4tt_1_3_4,z4tt_1_3,z4tt,python,100 doors,T1,Different Comments,0.9822569,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_1_3_5,z4tt_1_3,z4tt,python,100 doors,T1,Different Comments,0.98047554,mclyh,python,Active Directory/Connect,Networking,Directory Services
z4tt_1_4_1,z4tt_1_4,z4tt,python,100 doors,T1,Different Formatting,0.9992467,z4tt,python,100 doors,Game Development,Puzzles
z4tt_1_4_2,z4tt_1_4,z4tt,python,100 doors,T1,Different Formatting,0.9879754,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_1_4_3,z4tt_1_4,z4tt,python,100 doors,T1,Different Formatting,0.98301566,6y03w,python,Ackermann function,Mathematics,Algorithms
z4tt_1_4_4,z4tt_1_4,z4tt,python,100 doors,T1,Different Formatting,0.98157066,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_1_4_5,z4tt_1_4,z4tt,python,100 doors,T1,Different Formatting,0.9812827,8i80o,python,AKS test for primes,Mathematics,Number Theory
z4tt_2_1_1,z4tt_2_1,z4tt,python,100 doors,T2,Different Variable Names,0.9967172,z4tt,python,100 doors,Game Development,Puzzles
z4tt_2_1_2,z4tt_2_1,z4tt,python,100 doors,T2,Different Variable Names,0.98801994,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_2_1_3,z4tt_2_1,z4tt,python,100 doors,T2,Different Variable Names,0.9861861,6y03w,python,Ackermann function,Mathematics,Algorithms
z4tt_2_1_4,z4tt_2_1,z4tt,python,100 doors,T2,Different Variable Names,0.982164,jhq7p,python,A+B,Mathematics,Arithmetic
z4tt_2_1_5,z4tt_2_1,z4tt,python,100 doors,T2,Different Variable Names,0.98100215,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_2_2_1,z4tt_2_2,z4tt,python,100 doors,T2,Different Data Types,0.99561214,z4tt,python,100 doors,Game Development,Puzzles
z4tt_2_2_2,z4tt_2_2,z4tt,python,100 doors,T2,Different Data Types,0.98865795,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_2_2_3,z4tt_2_2,z4tt,python,100 doors,T2,Different Data Types,0.98588496,6y03w,python,Ackermann function,Mathematics,Algorithms
z4tt_2_2_4,z4tt_2_2,z4tt,python,100 doors,T2,Different Data Types,0.98006,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_2_2_5,z4tt_2_2,z4tt,python,100 doors,T2,Different Data Types,0.97961825,jhq7p,python,A+B,Mathematics,Arithmetic
z4tt_2_3_1,z4tt_2_3,z4tt,python,100 doors,T2,Different Function Names,0.9999999,z4tt,python,100 doors,Game Development,Puzzles
z4tt_2_3_2,z4tt_2_3,z4tt,python,100 doors,T2,Different Function Names,0.98798966,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_2_3_3,z4tt_2_3,z4tt,python,100 doors,T2,Different Function Names,0.9839485,6y03w,python,Ackermann function,Mathematics,Algorithms
z4tt_2_3_4,z4tt_2_3,z4tt,python,100 doors,T2,Different Function Names,0.9814422,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_2_3_5,z4tt_2_3,z4tt,python,100 doors,T2,Different Function Names,0.9799652,mclyh,python,Active Directory/Connect,Networking,Directory Services
z4tt_3_1_1,z4tt_3_1,z4tt,python,100 doors,T3,Added Statements,0.99774337,z4tt,python,100 doors,Game Development,Puzzles
z4tt_3_1_2,z4tt_3_1,z4tt,python,100 doors,T3,Added Statements,0.988804,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_3_1_3,z4tt_3_1,z4tt,python,100 doors,T3,Added Statements,0.9840524,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_3_1_4,z4tt_3_1,z4tt,python,100 doors,T3,Added Statements,0.9817618,8i80o,python,AKS test for primes,Mathematics,Number Theory
z4tt_3_1_5,z4tt_3_1,z4tt,python,100 doors,T3,Added Statements,0.9815824,mclyh,python,Active Directory/Connect,Networking,Directory Services
z4tt_3_2_1,z4tt_3_2,z4tt,python,100 doors,T3,Removed Statements,0.99937063,z4tt,python,100 doors,Game Development,Puzzles
z4tt_3_2_2,z4tt_3_2,z4tt,python,100 doors,T3,Removed Statements,0.9873184,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_3_2_3,z4tt_3_2,z4tt,python,100 doors,T3,Removed Statements,0.9832203,6y03w,python,Ackermann function,Mathematics,Algorithms
z4tt_3_2_4,z4tt_3_2,z4tt,python,100 doors,T3,Removed Statements,0.9807632,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_3_2_5,z4tt_3_2,z4tt,python,100 doors,T3,Removed Statements,0.9789567,mclyh,python,Active Directory/Connect,Networking,Directory Services
z4tt_3_3_1,z4tt_3_3,z4tt,python,100 doors,T3,Reordered Statements,0.9989429,z4tt,python,100 doors,Game Development,Puzzles
z4tt_3_3_2,z4tt_3_3,z4tt,python,100 doors,T3,Reordered Statements,0.9883641,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_3_3_3,z4tt_3_3,z4tt,python,100 doors,T3,Reordered Statements,0.98450136,6y03w,python,Ackermann function,Mathematics,Algorithms
z4tt_3_3_4,z4tt_3_3,z4tt,python,100 doors,T3,Reordered Statements,0.982152,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_3_3_5,z4tt_3_3,z4tt,python,100 doors,T3,Reordered Statements,0.9804,mclyh,python,Active Directory/Connect,Networking,Directory Services
z4tt_3_4_1,z4tt_3_4,z4tt,python,100 doors,T3,Control Flow Modifications,0.99624956,z4tt,python,100 doors,Game Development,Puzzles
